,sub_name,trial_num,mag,domain,response,acc,conf
1,HC sub_1,2,0,1,0,0,-2.4
2,HC sub_1,3,2,2,0,1,-1.4
3,HC sub_1,4,2,2,1,0,0
4,HC sub_1,5,2,1,1,0,-1.1
5,HC sub_1,6,3,2,0,1,-2.4
6,HC sub_1,7,3,2,1,0,0.7
7,HC sub_1,8,2,1,1,0,-1
8,HC sub_1,9,3,2,0,1,-3
9,HC sub_1,10,1,2,1,0,-2.5
10,HC sub_1,11,2,2,1,0,-0.9000001
11,HC sub_1,12,3,1,1,0,-0.8000001
12,HC sub_1,13,0,1,1,1,-1
13,HC sub_1,14,2,1,0,1,-2.1
14,HC sub_1,15,1,2,0,1,0
15,HC sub_1,16,0,1,1,1,-1
16,HC sub_1,17,3,2,0,1,-2.999999
17,HC sub_1,18,0,2,1,1,-1.9
18,HC sub_1,19,1,1,1,0,-0.8000001
19,HC sub_1,20,2,2,0,1,-2
20,HC sub_1,21,3,1,0,1,-2.4
21,HC sub_1,22,1,1,1,0,-2.2
22,HC sub_1,23,2,2,0,1,-2.2
23,HC sub_1,24,3,2,0,1,0
24,HC sub_1,25,3,1,0,1,-2.5
25,HC sub_1,26,2,1,0,1,0
26,HC sub_1,27,1,2,0,1,-1.2
27,HC sub_1,28,2,2,0,1,-0.9000001
28,HC sub_1,29,3,2,0,1,-2
29,HC sub_1,30,1,2,1,0,-1
30,HC sub_1,31,0,2,1,1,-2.4
31,HC sub_1,32,1,2,1,0,-1.2
32,HC sub_1,33,1,1,1,0,-1.1
33,HC sub_1,34,0,2,1,1,-0.8000001
34,HC sub_1,35,3,1,0,1,-2.4
35,HC sub_1,36,0,2,1,1,-1.9
36,HC sub_1,37,1,2,1,0,-0.9000001
37,HC sub_1,38,0,2,1,1,-1
38,HC sub_1,39,3,1,0,1,-3
39,HC sub_1,40,1,1,1,0,-0.6
40,HC sub_1,41,0,1,1,1,-0.7
41,HC sub_1,42,0,2,1,1,-1.2
42,HC sub_1,43,1,1,0,1,-2.2
43,HC sub_1,44,2,1,1,0,-1.2
44,HC sub_1,45,0,1,1,1,-1.5
45,HC sub_1,46,0,1,1,1,-0.8000001
46,HC sub_1,47,3,1,0,1,-3
47,HC sub_1,48,2,1,0,1,-1.5
48,HC sub_1,52,2,2,0,1,-0.9000001
49,HC sub_1,53,2,1,0,1,-3
50,HC sub_1,54,1,1,1,0,-1.2
